Disaster Type,Continent,Start Year,Start Month,Total Deaths,No Affected,Total Affected
Storm,Americas,2007,9,188,188726,188726
Flood,Asia,2005,8,52,0,188046
Storm,Oceania,2015,3,11,188000,188000
Flood,Americas,2004,1,79,186048,186096
Storm,Asia,2010,9,3,0,186000
Earthquake,Asia,2013,9,399,185150,185749
Flood,Americas,2014,10,38,185120,185120
Storm,Asia,2007,6,12,185000,185009
Flood,Asia,2012,5,53,185000,185000
Flood,Asia,2014,8,294,184745,184894
Earthquake,Asia,2014,5,0,184678,184723
Storm,Asia,2016,8,25,180000,182500
Storm,Americas,2010,10,14,181000,181000
Flood,Americas,2013,1,67,180734,180766
Flood,Africa,2007,11,0,180246,180246
Storm,Asia,2004,8,14,180000,180050
Flood,Asia,2008,9,50,180000,180003
Flood,Asia,2018,1,11,180000,180000
Flood,Americas,2008,10,3,180000,180000
Flood,Africa,2015,11,0,180000,180000
Flood,Asia,2014,8,35,179000,179000
Storm,Asia,2009,9,17,178000,178091
Flood,Africa,2015,1,160,177645,177645
Storm,Asia,2018,3,14,177000,177000
Flood,Oceania,2010,12,35,175000,175000
Storm,Asia,2017,7,36,174300,174300
Storm,Africa,2015,1,89,0,174007
Flood,Asia,2011,12,12,171800,171809
Storm,Americas,2013,5,27,170000,170150
Storm,Americas,2010,6,22,170000,170000
Flood,Africa,2007,8,12,170000,170000
Flood,Asia,2004,6,47,168000,168500
Flood,Asia,2019,3,9,168393,168397
Earthquake,Asia,2011,9,7,167860,167949
Flood,Asia,2019,12,9,167436,167436
Flood,Africa,2013,7,32,165943,165943
Flood,Africa,2014,6,36,165578,165578
Flood,Asia,2016,6,68,165000,165000
Flood,Africa,2016,10,47,165000,165000
Flood,Asia,2010,11,7,164183,164193
Storm,Asia,2017,10,9,163349,163349
Flood,Africa,2013,9,8,163212,163306
Storm,Africa,2007,2,10,162700,162770
Storm,Americas,2012,10,11,0,162605
Storm,Oceania,2007,11,172,162140,162140
Earthquake,Asia,2006,3,63,160000,161418
Storm,Africa,2018,1,73,161318,161318
Storm,Asia,2017,11,27,160000,160077
Flood,Africa,2008,7,15,158235,158235
Flood,Asia,2019,9,19,158000,158000
Flood,Americas,2010,6,72,157000,157000
Earthquake,Asia,2005,10,1309,0,156622
Flood,Africa,2005,8,5,156000,156000
Flood,Africa,2013,10,1,156000,156000
Flood,Africa,2006,10,35,155500,155500
Earthquake,Asia,2012,6,0,155000,155052
Flood,Asia,2019,11,12,155000,155009
Flood,Africa,2012,8,32,154000,154000
Storm,Americas,2010,8,6,154000,154000
Flood,Asia,2018,5,20,153712,153712
Flood,Africa,2009,9,9,150000,151000
Storm,Asia,2006,9,114,0,150300
Storm,Americas,2004,3,4,150000,150060
Flood,Asia,2013,9,17,150000,150030
Flood,Asia,2020,4,10,150000,150030
Flood,Asia,2007,11,55,150000,150000
Flood,Asia,2016,6,34,150000,150000
Flood,Asia,2014,8,27,150000,150000
Flood,Asia,2014,6,24,150000,150000
Storm,Asia,2016,6,12,150000,150000
Flood,Africa,2006,8,0,150000,150000
Flood,Africa,2009,9,0,150000,150000
Storm,Europe,2019,6,0,150000,150000
Flood,Americas,2018,10,0,150000,150000
Flood,Americas,2015,4,0,147405,147405
Flood,Americas,2013,1,25,145000,145000
Flood,Asia,2005,11,6,145000,145000
Flood,Asia,2015,6,35,128700,144900
Flood,Africa,2010,8,24,144579,144579
Flood,Americas,2011,10,17,143000,143018
Earthquake,Asia,2011,11,0,143000,143000
Storm,Africa,2013,11,162,142380,142380
Flood,Africa,2007,8,41,127880,141331
Flood,Africa,2010,3,94,141164,141164
Flood,Asia,2014,4,431,140000,140100
Flood,Asia,2012,7,58,140000,140000
Storm,Americas,2007,8,9,140000,140000
Flood,Africa,2009,9,24,139790,139790
Earthquake,Africa,2016,9,17,139161,139601
Earthquake,Asia,2007,3,67,136834,137660
Flood,Asia,2007,1,17,137533,137533
Flood,Asia,2019,9,1,136607,136607
Flood,Americas,2015,12,12,136450,136450
Storm,Asia,2014,9,27,125000,136255
Flood,Asia,2006,8,0,135775,135775
Flood,Africa,2012,8,35,135000,135135
Flood,Africa,2010,7,16,133362,133362
Flood,Africa,2018,6,36,130468,130468
Earthquake,Asia,2019,9,39,129652,130398
Storm,Asia,2019,11,12,130000,130000
Flood,Asia,2010,10,4,130000,130000
Storm,Asia,2012,10,108,129375,129558
Flood,Asia,2019,3,63,122600,129100
Storm,Asia,2009,9,16,128796,128887
Earthquake,Americas,2009,1,31,128527,128618
Flood,Asia,2015,7,28,105300,128610
Flood,Asia,2014,1,20,128182,128182
Storm,Asia,2012,4,12,127000,127000
Flood,Americas,2006,1,25,126075,126096
Storm,Asia,2012,10,1,126000,126000
Flood,Americas,2018,10,1,125190,125190
Storm,Asia,2015,4,100,125000,125100
Storm,Americas,2008,9,74,125000,125050
Flood,Asia,2012,5,16,125000,125000
Flood,Africa,2012,10,13,125000,125000
Flood,Asia,2013,7,10,125000,125000
Wildfire,Americas,2007,9,8,125000,125000
Storm,Americas,2016,9,0,125000,125000
Earthquake,Asia,2013,7,95,123000,123887
Flood,Africa,2016,6,50,123239,123266
Flood,Asia,2015,7,8,122000,122000
Flood,Africa,2007,7,52,92970,121043
Flood,Asia,2011,6,31,121005,121005
Flood,Asia,2007,5,15,121000,121000
Earthquake,Asia,2016,4,9,120000,120800
Earthquake,Asia,2004,8,4,0,120600
Storm,Asia,2019,10,3,120000,120150
Storm,Asia,2018,7,0,120000,120000
Storm,Americas,2020,5,31,119872,119872
Flood,Asia,2005,8,21,119270,119310
Flood,Americas,2007,5,2,110000,119200
Flood,Africa,2007,1,0,118755,118755
Flood,Asia,2008,9,16,118000,118000
Flood,Asia,2009,8,12,118000,118000
Storm,Africa,2014,11,49,117000,117000
Flood,Americas,2006,3,8,116000,116000
Storm,Africa,2011,2,35,89297,115215
Flood,Asia,2013,4,11,115000,115000
Flood,Asia,2020,2,6,115000,115000
Flood,Africa,2007,12,20,113535,113535
Storm,Africa,2017,1,251,100000,113023
Flood,Asia,2007,7,83,112600,112742
Earthquake,Asia,2010,4,2968,0,112000
Flood,Asia,2020,2,10,112000,112000
Flood,Africa,2009,8,20,111455,111455
Flood,Africa,2010,3,7,110875,110886
Flood,Asia,2014,7,66,81500,110500
Storm,Asia,2009,7,16,110400,110405
Storm,Asia,2015,11,8,110000,110065
Flood,Africa,2010,3,8,110000,110000
Flood,Africa,2020,4,8,110000,110000
Storm,Asia,2015,7,6,110000,110000
Storm,Asia,2013,10,20,109600,109754
Flood,Asia,2018,7,16,109650,109650
Storm,Americas,2007,10,90,108630,108763
Storm,Asia,2012,10,36,108021,108040
Storm,Asia,2019,8,72,108000,108000
Flood,Americas,2009,11,0,107670,107670
Storm,Asia,2017,6,0,107520,107520
Storm,Asia,2012,8,2,107500,107500
Flood,Africa,2020,1,40,106846,106846
Flood,Asia,2009,6,11,106000,106000
Flood,Asia,2016,12,0,105753,105753
Earthquake,Asia,2005,3,915,104167,105313
Earthquake,Africa,2004,12,298,104800,105083
Storm,Americas,2013,9,169,105000,105000
Flood,Asia,2018,12,14,105000,105000
Flood,Asia,2016,11,10,105000,105000
Storm,Asia,2006,1,0,0,105000
Flood,Americas,2008,8,4,81755,104755
Flood,Americas,2017,5,14,104140,104140
Flood,Asia,2014,6,27,104000,104009
Earthquake,Asia,2018,7,14,102717,102852
Flood,Americas,2014,8,2,102000,102000
Flood,Asia,2007,7,0,97628,101920
Flood,Africa,2015,9,53,100420,100420
Storm,Asia,2014,2,10,100000,100090
Flood,Asia,2013,8,11,100000,100021
Flood,Africa,2013,3,96,100000,100020
Flood,Asia,2012,5,5,100000,100018
Earthquake,Asia,2004,10,0,100000,100012
Flood,Asia,2004,8,210,100000,100000
Flood,Asia,2016,7,184,100000,100000
Flood,Asia,2004,10,160,0,100000
Flood,Asia,2005,7,126,100000,100000
Flood,Africa,2004,4,51,98500,100000
Flood,Asia,2006,8,42,100000,100000
Flood,Africa,2018,8,34,100000,100000
Flood,Asia,2018,2,20,100000,100000
Flood,Asia,2005,10,19,100000,100000
Flood,Asia,2016,4,18,100000,100000
Flood,Europe,2010,5,16,100000,100000
Flood,Asia,2013,5,12,100000,100000
Flood,Asia,2006,12,6,100000,100000
Flood,Asia,2017,6,6,100000,100000
Storm,Americas,2014,5,5,100000,100000
Storm,Americas,2005,10,4,100000,100000
Flood,Americas,2013,6,4,100000,100000
Storm,Asia,2014,4,3,100000,100000
Flood,Asia,2007,10,2,100000,100000
Flood,Europe,2004,6,0,100000,100000
Flood,Americas,2008,12,0,100000,100000
Storm,Asia,2012,4,0,100000,100000
Flood,Europe,2015,1,0,100000,100000
Flood,Asia,2014,6,0,99185,99185
Storm,Asia,2018,7,34,96000,96000
Flood,Americas,2006,7,18,95862,95862
Storm,Asia,2009,9,1,95700,95700
Flood,Americas,2010,11,41,94800,94800
Earthquake,Americas,2014,7,1,84679,94783
Earthquake,Asia,2005,2,612,93355,94766
Storm,Asia,2009,8,26,94211,94229
Flood,Asia,2007,10,83,94000,94042
Flood,Asia,2012,7,88,92945,93089
Storm,Asia,2008,7,1,93000,93006
Flood,Americas,2015,1,25,92890,92890
Earthquake,Asia,2015,10,115,0,92725
Flood,Africa,2020,4,52,92500,92580
Flood,Americas,2008,10,6,92000,92000
Flood,Asia,2017,7,3,92000,92000
Flood,Africa,2008,8,5,91764,91764
Flood,Africa,2011,11,25,91692,91692
Flood,Africa,2009,12,40,91350,91350
Flood,Asia,2008,8,37,90752,90752
Earthquake,Asia,2013,12,0,90500,90500
Storm,Americas,2009,11,275,75000,90000
Storm,Americas,2005,11,47,90000,90000
Flood,Asia,2004,6,5,90000,90000
Storm,Asia,2005,5,0,90000,90000
Flood,Asia,2013,12,0,0,90000
Flood,Africa,2014,10,0,90000,90000
Storm,Oceania,2018,4,7,89950,89950
Flood,Asia,2008,2,3,88261,89761
Storm,Oceania,2018,4,0,89250,89250
Flood,Americas,2012,2,3,80500,89000
Flood,Americas,2011,2,52,88825,88825
Flood,Asia,2012,1,4,88570,88570
Wildfire,Americas,2016,5,0,88000,88000
Storm,Asia,2016,4,18,87920,87944
Flood,Africa,2015,7,27,87037,87037
Storm,Americas,2012,6,7,87000,87000
Storm,Oceania,2018,2,0,87000,87000
Flood,Asia,2017,3,0,76725,86025
Earthquake,Asia,2016,12,104,85161,86018
Flood,Americas,2005,2,56,85612,85729
Flood,Asia,2015,7,0,85250,85250
Storm,Africa,2012,2,77,85000,85015
Flood,Asia,2012,7,2,85000,85000
Flood,Americas,2008,1,0,85000,85000
Storm,Asia,2004,10,89,84450,84792
Flood,Asia,2006,7,278,0,84500
Flood,Asia,2008,11,33,83000,84420
Flood,Asia,2013,12,4,84250,84250
Storm,Asia,2018,1,3,83908,83917
Flood,Americas,2014,10,20,83878,83878
Earthquake,Asia,2004,11,33,83070,83381
Storm,Asia,2019,9,2,83370,83370
Flood,Asia,2019,7,119,82500,82541
Earthquake,Asia,2014,11,5,82200,82355
Flood,Asia,2015,5,58,82000,82000
Flood,Africa,2010,6,21,82000,82000
Flood,Africa,2013,4,19,81506,81506
Flood,Africa,2011,10,14,81461,81473
Flood,Africa,2008,1,7,81400,81400
Flood,Asia,2020,4,0,81088,81088
Flood,Asia,2010,7,0,80920,80920
Earthquake,Asia,2013,4,0,80545,80555
Flood,Africa,2010,10,0,80337,80391
Flood,Asia,2016,2,8,80313,80313
Flood,Asia,2007,6,120,80000,80060
Storm,Americas,2017,9,4,80000,80002
Flood,Asia,2005,10,20,0,80000
Flood,Americas,2010,2,20,80000,80000
Flood,Asia,2019,6,8,80000,80000
Storm,Asia,2015,5,7,76200,79800
Storm,Americas,2007,10,129,79728,79728
Flood,Africa,2009,9,3,79129,79129
Flood,Americas,2012,3,0,78945,78945
Storm,Asia,2015,10,20,52500,78300
Flood,Americas,2011,7,15,78000,78000
Flood,Africa,2012,6,1,77845,77845
Flood,Asia,2015,8,41,77440,77440
Flood,Africa,2018,1,11,0,77150
Flood,Americas,2018,5,2,76845,76845
Flood,Asia,2017,4,8,76800,76800
Flood,Americas,2015,12,6,76133,76133
Flood,Asia,2006,5,0,76000,76000
Flood,Africa,2013,10,17,75910,75986
Flood,Americas,2007,10,41,72520,75947
Storm,Asia,2011,10,11,75632,75638
Earthquake,Asia,2008,10,166,75000,75320
Flood,Oceania,2008,12,0,75300,75300
Storm,Americas,2014,9,6,75000,75135
Storm,Africa,2006,3,3,75000,75066
Earthquake,Asia,2014,4,0,75000,75021
Flood,Africa,2010,11,32,75000,75003
Earthquake,Europe,2014,5,3,75000,75002
Flood,Asia,2009,8,36,75000,75000
Flood,Asia,2018,10,12,75000,75000
Flood,Asia,2020,1,10,75000,75000
Flood,Asia,2013,12,4,75000,75000
Flood,Asia,2018,12,2,75000,75000
Flood,Africa,2010,3,0,0,75000
Flood,Asia,2010,6,0,75000,75000
Flood,Americas,2010,4,256,74535,74938
Flood,Asia,2013,7,7,73300,73300
Flood,Asia,2014,9,10,73260,73260
Storm,Americas,2010,9,6,73055,73122
Storm,Americas,2008,8,85,72970,73006
Storm,Asia,2013,9,5,72696,72696
Storm,Americas,2005,10,69,72141,72141
Flood,Americas,2016,4,0,72119,72119
Storm,Americas,2009,9,4,72000,72000
Flood,Americas,2012,1,29,71790,71860
Flood,Asia,2012,9,14,71500,71500
Storm,Americas,2017,9,64,71293,71393
Flood,Americas,2010,8,66,71000,71000
Earthquake,Asia,2020,1,41,69000,70607
Storm,Asia,2004,11,8,70480,70488
Storm,Asia,2010,5,29,0,70190
Flood,Africa,2018,8,23,70000,70060
Flood,Asia,2020,5,0,70000,70050
Flood,Africa,2010,5,100,70000,70000
Flood,Asia,2008,7,65,70000,70000
Storm,Americas,2017,9,58,0,70000
Storm,Asia,2012,11,40,70000,70000
Flood,Americas,2016,8,13,70000,70000
Flood,Americas,2007,3,5,70000,70000
Flood,Asia,2018,5,5,70000,70000
Flood,Asia,2010,5,3,70000,70000
Flood,Americas,2011,10,33,69798,69798
Flood,Americas,2012,1,13,69085,69085
Storm,Asia,2012,10,0,0,69000
Earthquake,Asia,2006,1,0,0,68761
Flood,Africa,2010,3,0,67500,67500
Flood,Americas,2014,2,0,0,67500
Earthquake,Asia,2004,12,8345,58550,67007
Earthquake,Asia,2009,7,1,15000,65336
Flood,Africa,2019,12,65,65250,65250
Flood,Africa,2012,4,4,64987,65137
Flood,Africa,2011,3,113,65084,65084
Flood,Asia,2015,10,58,65000,65000
Flood,Africa,2008,1,42,65000,65000
Flood,Americas,2006,6,11,65000,65000
Storm,Africa,2012,1,10,65000,65000
Flood,Americas,2007,1,5,60000,65000
Flood,Asia,2007,12,3,65000,65000
Storm,Africa,2009,4,15,60818,64918
Flood,Asia,2019,12,3,64608,64614
Earthquake,Asia,2011,2,0,0,64501
Flood,Africa,2012,12,4,64385,64385
Flood,Asia,2010,8,5,64000,64136
Storm,Asia,2007,9,1,64000,64000
Storm,Asia,2013,5,0,64000,64000
Storm,Americas,2019,8,2,63349,63453
Flood,Asia,2018,8,7,63400,63400
Flood,Africa,2011,8,27,63075,63075
Earthquake,Europe,2020,3,1,63000,63017
Flood,Asia,2006,10,47,63000,63015
Flood,Asia,2007,7,225,63000,63000
Flood,Africa,2019,3,10,63000,63000
Flood,Americas,2009,2,0,63000,63000
Flood,Asia,2015,7,9,62929,62929
Storm,Africa,2009,1,12,58493,62505
Earthquake,Asia,2004,10,40,59000,62183
Flood,Asia,2007,8,0,61689,61744
Storm,Americas,2007,12,33,61605,61605
